ENTREZID,d3_DMSO_prep1_1,d3_DMSO_prep1_2,d3_RXRi_prep1_1,d3_RXRi_prep1_2,d3_DMSO_prep2_1,d3_DMSO_prep2_2,d3_RXRi_prep2_1,d3_RXRi_prep2_2
100009600,39,36,28,28,44,41,29,30
100009609,0,0,0,0,0,0,0,0
100009614,0,0,0,0,0,0,0,0
100009664,0,0,0,0,0,0,0,0
100012,0,0,0,0,0,0,0,0
100017,13,13,22,20,14,13,21,23
100019,4,3,2,3,4,4,3,3
100033459,0,0,0,0,0,0,0,0
100034251,0,0,0,0,0,0,0,0
100034361,14,15,13,14,13,13,15,15
100034363,0,1,1,1,1,1,1,1
100034684,0,0,0,0,0,0,0,0
100034726,639,705,605,534,758,691,577,573
100034729,0,0,0,0,0,0,0,0
100034739,0,0,0,0,0,0,0,0
100036518,0,0,0,0,0,0,0,0
100036520,0,0,0,0,0,0,0,0
100036521,5,5,5,5,5,5,5,4
100036523,0,0,0,0,0,0,0,0
100036537,0,0,0,0,0,0,0,0
100036768,0,0,0,0,0,0,0,0
100037258,30,27,20,22,25,25,22,20
100037260,0,0,0,0,0,0,0,0
100037262,0,0,0,0,0,0,0,0
100037278,0,1,1,1,0,1,1,1
100037282,12,13,14,14,11,12,14,14
100037283,66,65,91,85,60,61,87,85
100037396,0,0,0,0,0,0,0,0
100038347,29,26,24,23,28,26,19,20
100038353,0,0,0,0,0,0,0,0
100038356,0,0,0,0,0,0,0,0
100038358,0,0,0,0,0,0,0,0
100038363,0,0,0,0,0,0,0,0
100038371,0,0,0,0,0,0,0,0
100038374,0,0,0,0,0,0,0,0
100038378,0,0,0,0,0,0,0,0
100038392,0,0,0,0,0,0,0,0
100038394,0,0,0,0,0,0,0,0
100038410,0,0,0,0,0,0,0,0
100038417,0,0,0,0,0,0,0,0
100038439,0,0,0,0,0,0,0,0
100038453,0,0,0,0,0,0,0,0
100038454,0,0,0,0,0,0,0,0
100038460,0,0,0,0,0,0,0,0
100038464,0,1,0,0,1,1,0,0
100038468,0,0,0,0,0,0,0,0
100038479,0,0,0,0,0,0,0,0
100038481,0,0,0,0,0,0,0,0
100038489,0,0,0,0,0,0,0,0
100038493,0,0,0,0,0,0,0,0
100038494,0,0,0,0,0,0,0,0
100038514,0,0,0,0,0,0,0,0
100038516,0,0,0,0,0,0,0,0
100038522,0,0,0,0,0,0,0,0
100038525,0,0,0,0,0,0,0,0
100038526,1,1,2,1,1,0,1,0
100038538,4,4,2,3,4,3,3,3
100038545,0,0,0,0,0,0,0,0
100038554,0,0,0,0,0,0,0,0
100038555,0,0,0,0,0,0,0,0
100038556,0,0,0,0,0,0,0,0
100038566,1,1,0,0,1,1,0,0
100038570,0,0,0,0,0,0,0,0
100038574,0,0,0,0,0,0,0,0
100038575,0,0,0,0,0,0,0,0
100038577,0,0,0,0,0,0,0,0
100038584,0,0,0,0,0,0,0,0
100038591,0,0,0,0,0,0,0,0
100038595,0,0,0,0,0,0,0,0
100038600,0,0,0,0,0,0,0,0
100038602,0,0,0,0,0,0,0,0
100038607,0,0,0,0,0,0,0,0
100038608,0,0,0,0,0,0,0,0
100038614,0,0,0,0,0,0,0,0
100038617,0,0,0,0,0,0,0,0
100038623,0,0,0,0,0,0,0,0
100038627,0,0,0,0,0,0,0,0
100038628,19,14,4,5,14,11,5,5
