Column1;V1;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;-log10
100009600;Zglp1;34,28393567;0,1319406;0,273102502;0,483117506;0,629012305;0,999924868;0,201340859
100017;Ldlrap1;17,46906498;0,058520571;0,402113608;0,145532431;0,884290512;0,999924868;0,053405035
100019;Mdn1;3,240352206;0,219248008;0,751089802;0,291906517;0,7703581;0,999924868;0,113307347
100034361;Mfap1b;14,01580106;-0,002621829;0,368737373;-0,007110287;0,99432686;0,999924868;0,002470829
100034363;Tmsb15b2;0,879042421;0,40589911;1,431667289;0,283514971;0,776782107;0,999924868;0,109700787
100034726;Gm15772;634,5866316;0,060435424;0,14097809;0,428686644;0,668151282;0,999924868;0,175125194
100036521;Umad1;4,87624952;-0,07857454;0,608426277;-0,129143896;0,897243789;0,999924868;0,047089539
100037258;Dnajc3;23,83275189;-0,108538722;0,298179584;-0,36400454;0,715854619;0,999924868;0,145175168
100037278;Niban3;0,756496552;-0,006108915;1,593633494;-0,003833325;0,996941457;0,999924868;0,001330344
100037282;Rsph3b;13,03043572;-0,059023865;0,385961805;-0,152926698;0,878456081;0,999924868;0,056279946
100037283;Rnaset2a;75,29425484;-0,070664127;0,251157802;-0,281353502;0,778439278;0,999924868;0,108775259
100038347;Fam174b;24,33483575;-0,138236268;0,295652434;-0,467563436;0,640096818;0,999924868;0,193754332
100038464;Gm15441;0,368906721;0,709837855;2,699837809;0,262918703;0,792613241;0,999924868;0,100938677
100038526;Gm16008;0,879400762;-1,329583589;1,567171373;-0,848397063;0,396216878;0,999924868;0,402067028
100038538;Gm10767;3,242115394;-0,001848947;0,751992479;-0,002458731;0,998038218;0,999924868;0,000852828
100038566;Gm10658;0,49058498;-0,004231589;2,173676044;-0,001946743;0,998446725;0,999924868;0,000675103
100038628;Gm10768;9,532030227;-0,262465996;0,661697292;-0,39665569;0,69162138;0,999924868;0,16013159
100038693;Tmem51os1;0,128332795;-0,725301429;3,533811541;-0,205246211;0,837379767;0,999924868;0,077077537
100038712;Gm10516;2,148345963;0,16755304;1,015117361;0,165057802;0,868898487;0,999924868;0,061030959
100038746;Gm1976;1,618659543;0,220308376;1,054429969;0,208935996;0,834498204;0,999924868;0,078574594
100038862;Btnl1;1,227530812;-0,007244431;1,844789686;-0,003926969;0,99686674;0,999924868;0,001362894
100038882;Isg15;0,637111596;-0,594162661;2,084139429;-0,28508777;0,7755769;0,999924868;0,110375135
100038927;Defa30;74,45989757;-0,01220809;0,885210956;-0,013791164;0,988996592;0,999924868;0,004805205
100038982;Gm1995;0,127473127;0,717371092;3,533811541;0,20300208;0,839133407;0,999924868;0,076168989
100039027;Gm2011;0,622615927;-0,582285664;1,832177912;-0,317810656;0,750628567;0,999924868;0,124574911
100039042;Eif1ad3;0,618058107;0,580943191;1,833995938;0,31676362;0,751422971;0,999924868;0,124115533
100039052;Eif1ad4;0,121678259;-0,725301429;3,533811541;-0,205246211;0,837379767;0,999924868;0,077077537
100039060;Gm2026;1,00072068;-0,003947934;1,29958104;-0,003037851;0,997576149;0,999924868;0,001053943
100039062;Gm2027;1,863002915;0,191496341;1,011007124;0,189411466;0,849770339;0,999924868;0,070698432
100039123;Gm14295;2,380812072;-0,465130099;0,871527005;-0,533695567;0,593552176;0,999924868;0,226541098
100039138;Gm2061;0,245740279;-1,438611661;3,532821653;-0,407213214;0,683851397;0,999924868;0,165038262
100039239;Ctxnd1;0,127353882;0,717371092;3,533811541;0,20300208;0,839133407;0,999924868;0,076168989
100039246;NA;0,98116996;-0,004846048;1,868718842;-0,002593246;0,997930891;0,999924868;0,000899534
100039495;Gm15706;1,617254695;-0,227275952;1,076441822;-0,211136308;0,832780909;0,999924868;0,079469239
100039596;Tcf24;0,758789855;-1,001176835;1,765156086;-0,567188841;0,570585889;0,999924868;0,243678973
100039691;Lncenc1;0,85710794;0,411461118;1,933250007;0,212833889;0,831456529;0,999924868;0,080160452
100039707;Mthfsl;5,382974113;-0,206404417;0,581677041;-0,354843672;0,722706709;0,999924868;0,141037914
100039781;Hrct1;0,890003642;-0,415040301;1,685136132;-0,24629482;0,805454019;0,999924868;0,093959247
100039864;Snhg12;25,42528196;0,107619019;0,319429931;0,336909627;0,736185028;0,999924868;0,133013019
100039968;Tmem35b;4,253431013;-0,171069875;0,657813172;-0,260058452;0,794818686;0,999924868;0,099731931
100040525;Tmem181c-ps;9,428250137;-0,042623589;0,496111351;-0,085915368;0,931533695;0,999924868;0,030801431
100040531;Dynlt1f;35,2734602;0,097650951;0,239716547;0,407360075;0,683743546;0,999924868;0,16510676
100040608;Fancf;3,863947046;-0,09736393;0,69161281;-0,140778089;0,888045253;0,999924868;0,051564903
100040617;Wincr1;20,28864378;-0,075704172;0,824059695;-0,09186734;0,926803441;0,999924868;0,033012362
100040970;Rpl14-ps1;1042,680528;0,013068538;0,172310207;0,075843088;0,939543935;0,999924868;0,027082906
100041085;Mfsd4b3-ps;0,745893672;-1,008215592;1,624632801;-0,620580596;0,53487561;0,999924868;0,271747205
100041151;Gm3636;0,745411989;1,000134663;1,6246919;0,6155842;0,538168982;0,999924868;0,269081337
100041230;H4c17;1,129053476;-0,328911798;1,246736366;-0,263818243;0,791919977;0,999924868;0,101318702
100041231;Gm3219;17,58490781;0,179457493;0,346827458;0,517425851;0,604858918;0,999924868;0,218345912
100041286;Snhg15;23,57904239;0,131483433;0,308251186;0,426546397;0,669709747;0,999924868;0,17411338
100041290;D4Ertd617e;2,739661576;0,260458551;0,827532999;0,314740984;0,752958324;0,999924868;0,123229061
100041294;Supt4b;11,95478753;-0,123917318;0,437286174;-0,283378085;0,776887026;0,999924868;0,109642131
100041480;Myef2l;18,85512717;0,053988246;0,323015594;0,167138202;0,867261308;0,999924868;0,061850029
100041546;Ly6c2;31,71769425;-0,236394386;0,833624778;-0,283574088;0,776736797;0,999924868;0,10972612
100041574;9030025P20Rik;1,00072068;-0,003947934;1,29958104;-0,003037851;0,997576149;0,999924868;0,001053943
100041576;Gm3414;1,00072068;-0,003947934;1,29958104;-0,003037851;0,997576149;0,999924868;0,001053943
100041621;Gm3435;1,749906214;-0,006529231;1,012343181;-0,006449622;0,994853982;0,999924868;0,002240657
100041639;Dynlt2a2;0,121678259;-0,725301429;3,533811541;-0,205246211;0,837379767;0,999924868;0,077077537
100041677;Zfp984;3,998970287;-0,365099015;0,676767308;-0,539474958;0,589559172;0,999924868;0,2294726
100041688;Defa35;1,978729727;-0,00204106;1,138192315;-0,001793247;0,998569196;0,999924868;0,000621835
100041694;Gm10451;6,40615939;-0,175069397;0,564515942;-0,310123035;0,756467396;0,999924868;0,121209786
100041759;Defa41;0,368906721;0,709837855;2,699837809;0,262918703;0,792613241;0,999924868;0,100938677
100041787;Defa40;0,368906721;0,709837855;2,699837809;0,262918703;0,792613241;0,999924868;0,100938677
100041811;Defa27;0,246360852;-0,003962916;3,533811541;-0,001121428;0,99910523;0,999924868;0,000388768
100041890;Defa32;7,213346584;0,298637481;0,582675863;0,512527634;0,608281785;0,999924868;0,215895188
100041895;Defa37;2,467798556;0,286079056;1,108202037;0,258147022;0,796293443;0,999924868;0,098926861
100041952;Defa34;1,483464527;-0,006530605;1,31269641;-0,004974954;0,996030577;0,999924868;0,001727329
100041979;Gm3604;1,618659543;0,220308376;1,054429969;0,208935996;0,834498204;0,999924868;0,078574594
100042049;Gm15421;112,4778671;-0,204088027;0,182534887;-1,118076828;0,263534182;0,999924868;0,579163046
100042165;Thoc2l;1,00072068;-0,003947934;1,29958104;-0,003037851;0,997576149;0,999924868;0,001053943
100042166;Gm3704;0,12406202;-0,725301429;3,533811541;-0,205246211;0,837379767;0,999924868;0,077077537
100042173;Rps15a-ps6;93,32621116;-0,066756047;0,199813458;-0,334091848;0,738310251;0,999924868;0,131761101
100042295;Gm3776;501,664432;0,029836216;0,491875057;0,06065812;0,951631485;0,999924868;0,021531197
100042314;Gsta5;169,0160639;-0,007236473;0,47784838;-0,015143868;0,987917403;0,999924868;0,005279364
100042332;Reno1;0,873744784;0,413626453;1,431731453;0,288899466;0,772658312;0,999924868;0,112012519
100042415;Mnd1-ps;1,128193807;0,320526001;1,246721073;0,257095198;0,797105285;0,999924868;0,098484312
100042498;Mir22hg;7,852978358;0,183016658;0,843642108;0,216936371;0,828257932;0,999924868;0,081834396
100042514;Sprr2a3;3348,392172;-0,326820559;0,620305402;-0,526870406;0,598283586;0,999924868;0,223092912
100042757;Gm4013;2,38701781;-0,158773044;0,902406335;-0,175944071;0,860337882;0,999924868;0,065330954
100042786;Ubl5b;0,497239516;-0,014180968;2,170529157;-0,006533415;0,994787126;0,999924868;0,002269844
100043040;1110002L01Rik;2,24718164;-0,323488011;0,891169906;-0,362992521;0,716610471;0,999924868;0,14471685
100043133;9130023H24Rik;2,384103934;-0,157089313;0,872207067;-0,180105527;0,857069724;0,999924868;0,066983846
100043147;Gm4262;1,00072068;-0,003947934;1,29958104;-0,003037851;0,997576149;0,999924868;0,001053943
100043189;Gm4285;1,00072068;-0,003947934;1,29958104;-0,003037851;0,997576149;0,999924868;0,001053943
100043272;Inafm2;14,29834235;-0,003234823;0,383792303;-0,008428577;0,993275048;0,999924868;0,002930474
100043292;Gm4340;0,122545869;0,717371092;3,533811541;0,20300208;0,839133407;0,999924868;0,076168989
100043305;Gm4349;1,878895492;-0,195067745;0,972468539;-0,200590289;0,841018952;0,999924868;0,075194218
100043314;Tigit;4,283135162;0,165658181;0,741341046;0,223457451;0,823179495;0,999924868;0,084505456
100043381;Gm14308;1,00072068;-0,003947934;1,29958104;-0,003037851;0,997576149;0,999924868;0,001053943
